"I say again, as did the Apostles to Jesus, 'Lord, increase our faith.' Grant us faith to look beyond the problems of the moment to the miracles of the future.  Gordon B. Hinckley",
"I can do all things through Christ which strengtheneth me.  Philippians 4:13",
"If we do not find time to unplug, we may miss opportunities to hear the voice of Him who said, 'Be still, and know that I am God.' @BallardMRussell",
"Stop, look around, and ask yourself, 'Who needs me today?'  Bonnie L. Oscarson ",
"Please also remember that an essential element of forgiveness includes forgiving ourselves.  Larry J. Echo Hawk",
"The privilege of receiving revelation is one of the greatest gifts of God to His children. @NelsonRussellM ",
"No one is more on our side than the Savior. He allows us to take and keep retaking His exams. To become like Him will require countless second chances.  Lynn G. Robbins",
"Wherefore, my beloved brethren, if ye have not charity, ye are nothing, for charity never faileth. Wherefore, cleave unto charity, which is the greatest of all, for all things must fail But charity is the pure love of Christ, and it endureth forever.  Moroni 7:46-47",
"If you are struggling to find the strength to forgive, don't think of what others have done to you, but think of what the Savior has done for you, and you will find peace in the redemptive blessings of His Atonement.  Massimo De Feo",
"Every one of our paths is different, yet we walk them together. Our path is not about what we have done or where we have been; it is about where we are going and what we are becoming, in unity.  Reyna I. Aburto",
"I exhort you to sweep the earth with messages filled with righteousness and truth messages that are authentic, edifying, and praiseworthy and literally to sweep the earth as with a flood. @BednarDavidA ",
"May God grant unto you, my brethren, that ye may begin to exercise your faith unto repentance, that ye begin to call upon his holy name, that he would have mercy upon you; Yea, cry unto him for mercy; for he is mighty to save.  Alma 34:17-18",
"Love is making space in your life for someone else.  Neill F. Marriott",
"As you are humble in following the counsel of the Lord's prophet, I promise you an added blessing of safety and peace. @AndersenNeilL",
"God sanctifies your most difficult days.  Brian K. Taylor",
"We would do well to evaluate our effort in pursuing missionary work, temple and family history work, and preparations to meet God. @CookQuentinL",
"Remember that there is no other way nor means whereby man can be saved, only through the atoning blood of Jesus Christ, who shall come; yea, remember that he cometh to redeem the world.  Helaman 5:9",
"By serving and forgiving others with real love, we can be healed and receive the strength to overcome our own challenges.  Jose L. Alonso",
"I testify of the great gift which is our Father's plan for us. It is the one perfect path to peace and happiness.  Thomas S. Monson ",
"When we sincerely repent of our sins, they are truly gone without a trace! I have personally felt the love, the joy, the relief, and the confidence before the Lord as I have sincerely repented.  Linda S. Reeves",
"We are taught many small and simple things in the gospel of Jesus Christ. We need to be reminded that in total and over a significant period of time, these seemingly small things bring to pass great things. @OaksDallinH ",
