"It is not enough just to talk to our children about the importance of temple marriage, fasting, and keeping the Sabbath day holy. They must see us making room in our schedules to attend the temple as frequently as we can.  Valeri V. CordÃ³n",
"For I, the Lord, will judge all men according to their works, according to the desire of their hearts.  Doctrine and Covenants 137:9",
"We are followers of our Savior, Jesus Christ. Such conversion and confidence is the result of diligent and deliberate effort. It is individual. It is the process of a lifetime.  Ann M. Dibb",
"The Book of Mormon is our handbook of instructions as we travel the pathway from bad to good to better and strive to have our hearts changed. @BednarDavidA",
"But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart.  1 Samuel 16:7",
"One way to come unto Christ is by seeking to learn essential truths with our hearts. As we do so, impressions that come from God will give us knowledge that we cannot get by any other means.  Walter F. GonzÃ¡lez",
". . . we can bring the light of the gospel into our own environment, be it a high-rise apartment in Manhattan, a stilt house in Malaysia, or a yurt in Mongolia. We can determine to look for the good in others and in the circumstances around us.  Jean B. Bingham ",
"We need to listen to and understand what our LGBT brothers and sisters are feeling and experiencing. Certainly, we must do better than we have done in the past so that all members feel they have a spiritual home where their brothers and sisters love them . . . @BallardMRussell",
". . . you need to continue to focus on becoming the person the Lord needs you to be. Strive to develop the spiritual attributes of faith, virtue, knowledge, temperance, patience, brotherly kindness, godliness, charity, humility, and diligence. @NelsonRussellM",
"Remember the worth of souls is great in the sight of God.  Doctrine and Covenants 18:10 ",
". . . understanding the doctrine of repentance is essential for becoming resistant to sin. Being sin-resistant doesn't mean being sinless, but it does imply being continually repentant, vigilant, and valiant.  Joy D. Jones",
"Since the Savior has suffered anything and everything that we could ever feel or experience, He can help the weak to become stronger.'  James E. Faust",
". . . he will take upon him their infirmities, that his bowels may be filled with mercy, according to the flesh, that he may know according to the flesh how to succor his people according to their infirmities.  Alma 7:12",
". . . when our fists clench and our tears flow, when we need to know what to hold onto and what to let go of, we can always remember Him. Life is not as cruel as it can sometimes seem. His infinite compassion can help us find our way, truth, and life. @GerritWGong",
"Our sole aim is to invite each son and daughter of God to come unto Christ and to guide him or her along the covenant path. Nothing is more important. Our work is all about people and covenants.  GÃ©rald CaussÃ©",
"After all is said and done, true ministering is accomplished one by one with love as the motivation. The value and merit and wonder of sincere ministering is that it truly changes lives!  Jean B. Bingham",
". . . may we labor side by side with the Lord of the vineyard, giving the God and Father of us all a helping hand with His staggering task of answering prayers, providing comfort, drying tears, and strengthening feeble knees. @HollandJefferyR",
"True Christlike service is selfless and focuses on others.  Cheryl A. Esplin ",
"A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another. By this shall all men know that ye are my disciples, if ye have love one to another.  John 13:34-35",
"And thou hast beheld in thy youth his glory; wherefore, thou art blessed even as they unto whom he shall minister in the flesh; for the Spirit is the same, yesterday, today, and forever. And the way is prepared from the fall of man, and salvation is free.  2 Nephi 2:4",
". . .in His eternal plan families are meant to be together forever. He cares about His children. He answers our prayers.  Jairo Mazzagardi",
". . .no matter how flat your relationship may be at the present, if you keep adding pebbles of kindness, compassion, listening, sacrifice, understanding, and selflessness, eventually a mighty pyramid will begin to grow. @UchtdorfDF",
"The fundamentals of gaining and retaining a testimony of the gospel of Jesus Christ are straightforward, clear, and within the capacity of every person.  Cecil O. Samuelson Jr. ",
"Let your family be filled with love as you honor the Sabbath all day long and experience its spiritual blessings throughout the week.  L. Tom Perry",
"Let us press forward by learning our duty, making correct decisions, acting according to those decisions, and accepting the will of our Father.  Jorge F. Zeballos",
"See that all these things are done in wisdom and order; for it is not requisite that a man should run faster than he has strength. And again, it is expedient that he should be diligent, that thereby he might win the prize.  Mosiah 4:27",
"Not only did our Savior love all; He served all. Expand your goodness to many. Old and young can be greatly blessed by your kind service.  Mary N. Cook",
"We understand and believe in the eternal nature of the family. This understanding and belief should inspire us to do everything in our power to establish a Christ-centered home.  Richard J. Maynes ",
"All that the future holds in store for each sacred child of God will be shaped by his or her parents, family, friends, and teachers. Thus, our faith now becomes part of our posterity's faith later. @NelsonRussellM",
"Heavenly Father has charged and blessed us to be fruitful, to multiply, and to subdue the earth that we might become like Him.  Joseph W. Sitati",
"Being true to our beliefs even when doing so isn't popular, easy, or fun keeps us safely on the path that leads to eternal life with our Heavenly Father.  Ann M. Dibb",
"The Lord's way to help those in temporal need requires people who out of love have consecrated themselves and what they have to God and to His work. @EyringHB",
"Behold, I have graven thee upon the palms of my hands.  1 Nephi 21:16 ",
"If someone is looking for a church that requires very little, this is not the one. It is not easy to be a Latter-day Saint, but in the long run it is the only true course.  Boyd K. Packer",
"Look to the great Mediator, and hearken unto his great commandments; and be faithful unto his words, and choose eternal life, according to the will of his Holy Spirit.  2 Nephi 2:28",
"[We] come to know our Savior through afflictions and trials. Let us not forget that even He had to suffer all things.  BenjamÃ­n De Hoyos",
"When love becomes the guiding principle in our care for others, our service to them becomes the gospel in action. It is the gospel in its finest moment. It is pure religion.  Silvia H. Allred",
"Women are daughters of our Heavenly Father, who loves them. Wives are equal to their husbands. Marriage requires a full partnership where wives and husbands work side by side to meet the needs of the family. @CookQuentinL",
"[Jesus Christ] is our Redeemer, our Friend, our Advocate, the Great Physician, the Great Healer. In Him we can find peace and solace in and from our pain and our sins if we will but come unto Him with humble hearts.  Kent F. Richards ",
"The importance of having a firm and sure testimony of the Book of Mormon cannot be overstated.  Thomas S. Monson",
"Seek not after riches nor the vain things of this world; for behold, you cannot carry them with you.  Alma 39:14",
"As Latter-day Saints, ours is the duty to invite millions '¦ to come and see what our church can add to the good things that they already have.  Walter F. GonÃ¡lez",
"If we have a heart to learn and a willingness to follow the example of children, their divine attributes can hold a key to unlocking our own spiritual growth.  Jean A. Stevens ",
"The Father is at this moment aware of you, your feelings, and the spiritual and temporal needs of everyone around you. I bear testimony that the Father and the Son are sending the Holy Ghost to all who have that gift, ask for that blessing, and seek to be worthy of it. @EyringHB",
"Our Heavenly Father does not want His children to be discouraged or to give up on their quest for celestial glory. @CookQuentinL",
"I am thankful that missionaries are called by the Lord, that they respond to that call, and that they are serving throughout the world.  Kazuhiko Yamashita",
"How can a father raise a happy, well-adjusted daughter in today's increasingly toxic world? '¦ By the way you love her mother, you will teach your daughter about tenderness, loyalty, respect, compassion, and devotion.  Elaine S. Dalton",
"No Church-built facility is more important than a temple. Temples are places where relationships are sealed together to last through the eternities.  Thomas S. Monson",
"How precious is the Book of Mormon to you? If you were offered diamonds or rubies or the Book of Mormon, which would you choose? Honestly, which is of greater worth to you? @NelsonRussellM ",
"As we come unto and follow the Savior, we increasingly and incrementally are enabled to become more like Him. We are empowered by the Spirit with disciplined self-restraint and a settled and calm demeanor. @BednarDavidA",
"From the day the gospel began to be restored in this dispensation, the Lord has needed faithful women to participate as His disciples.  Julie B. Beck",
"I testify that when help is prayerfully and sincerely sought, our Heavenly Father will help us to give emphasis to that which deserves our time above something else.  Ian S. Ardern",
"When we have charity, we are willing to serve and help others when it is inconvenient and with no thought of recognition or reciprocation. We don't wait to be assigned to help, because it becomes our very nature.  Silvia H. Allred",
"If fathers would magnify their priesthood in their own family, it would further the mission of the Church as much as anything else they might do. @OaksDallinH ",
